MJD,Err (pos),Err(neg),Rate,Error,obsID,MODE,BAD,UL,BAND
53983.3456976465,0.0705164814814815,-0.0705164814814815,-0.383913,-0.401339,00035866001,PC,False,False,HR
53983.3456976465,0.0705164814814815,-0.0705164814814815,-0.001119,0.00025,00035866001,PC,False,False,HARD
53983.3456976465,0.0705164814814815,-0.0705164814814815,0.002915,0.002977,00035866001,PC,False,False,SOFT
54040.0062695022,0.0041026157407407,-0.0041026157407407,-0.000277,7.7e-05,00035866002,PC,False,False,HARD
54040.0062695022,0.0041026157407407,-0.0041026157407407,-0.1338,-0.153628,00035866002,PC,False,False,HR
54040.0062695022,0.0041026157407407,-0.0041026157407407,0.002072,0.002308,00035866002,PC,False,False,SOFT
54046.0612182233,0.0380595138888889,-0.0380595138888889,1.024689,0.249497,00035866003,PC,False,False,HR
54046.0612182233,0.0380595138888889,-0.0380595138888889,-0.000122,2.2e-05,00035866003,PC,False,False,SOFT
54046.0612182233,0.0380595138888889,-0.0380595138888889,-0.000125,2.1e-05,00035866003,PC,False,False,HARD
54096.5157742218,0.0709938078703704,-0.0709938078703704,-8.1e-05,1.2e-05,00030848001,PC,False,False,HARD
54096.5157742218,0.0709938078703704,-0.0709938078703704,0.000653,0.000708,00030848001,PC,False,False,SOFT
54096.5157742218,0.0709938078703704,-0.0709938078703704,-0.123606,-0.135418,00030848001,PC,False,False,HR
54098.3549798792,0.307484189814815,-0.307484189814815,-0.139932,-0.089412,00030848002,PC,False,False,HR
54098.3549798792,0.307484189814815,-0.307484189814815,0.000378,0.00024,00030848002,PC,False,False,SOFT
54098.3549798792,0.307484189814815,-0.307484189814815,-5.3e-05,4e-06,00030848002,PC,False,False,HARD
54099.5233850528,0.471723136574074,-0.471723136574074,0.00063,0.000355,00030848003,PC,False,False,HARD
54099.5233850528,0.471723136574074,-0.471723136574074,-7.913023,-4.487639,00030848003,PC,False,False,HR
54099.5233850528,0.471723136574074,-0.471723136574074,-8e-05,6e-06,00030848003,PC,False,False,SOFT
54100.1890966709,1.1412037037037e-05,-1.1412037037037e-05,1.130215,0.799183,00030848004,WT,False,False,HARD
54100.1890966709,1.1412037037037e-05,-1.1412037037037e-05,2.0,2.44949,00030848004,WT,False,False,HR
54100.5265259648,0.470664363425926,-0.470664363425926,9.1e-05,0.000153,00030848004,PC,False,False,SOFT
54101.5299947148,0.470661076388889,-0.470661076388889,-6.4e-05,5e-06,00030848005,PC,False,False,HARD
54101.5299947148,0.470661076388889,-0.470661076388889,0.000254,0.000216,00030848005,PC,False,False,SOFT
54101.5299947148,0.470661076388889,-0.470661076388889,-0.25037,-0.213049,00030848005,PC,False,False,HR
54102.4997907657,0.436290532407407,-0.436290532407407,0.000142,0.000185,00030848006,PC,False,False,SOFT
54102.4997907657,0.436290532407407,-0.436290532407407,-0.606672,-0.79464,00030848006,PC,False,False,HR
54102.4997907657,0.436290532407407,-0.436290532407407,-8.6e-05,6e-06,00030848006,PC,False,False,HARD
54103.6775328467,0.208551585648148,-0.208551585648148,-8e-05,5e-06,00030848007,PC,False,False,HARD
54103.6775328467,0.208551585648148,-0.208551585648148,-0.632944,-0.91359,00030848007,PC,False,False,HR
54103.6775328467,0.208551585648148,-0.208551585648148,0.000127,0.000183,00030848007,PC,False,False,SOFT
54104.5806366314,0.363070729166667,-0.363070729166667,-0.20897,-0.167161,00030848008,PC,False,False,HR
54104.5806366314,0.363070729166667,-0.363070729166667,-0.00019,2.5e-05,00030848008,PC,False,False,HARD
54104.5806366314,0.363070729166667,-0.363070729166667,0.000907,0.000716,00030848008,PC,False,False,SOFT
54105.557300474,0.336494421296296,-0.336494421296296,0.000239,0.000299,00030848009,PC,False,False,SOFT
54105.557300474,0.336494421296296,-0.336494421296296,-0.321817,-0.403574,00030848009,PC,False,False,HR
54105.557300474,0.336494421296296,-0.336494421296296,-7.7e-05,7e-06,00030848009,PC,False,False,HARD
54106.4924501012,0.340848472222222,-0.340848472222222,8.9e-05,0.000165,00030848010,PC,False,False,HARD
54106.4924501012,0.340848472222222,-0.340848472222222,0.000384,0.000342,00030848010,PC,False,False,SOFT
54106.4924501012,0.340848472222222,-0.340848472222222,0.230583,0.476505,00030848010,PC,False,False,HR
54107.4253857146,0.337017986111111,-0.337017986111111,1.171109,0.131023,00030848011,PC,False,False,HR
54107.4253857146,0.337017986111111,-0.337017986111111,-5.8e-05,4e-06,00030848011,PC,False,False,HARD
54107.4253857146,0.337017986111111,-0.337017986111111,-4.9e-05,4e-06,00030848011,PC,False,False,SOFT
54108.4294425177,0.336858773148148,-0.336858773148148,1.010585,0.165298,00030848012,PC,False,False,HR
54108.4294425177,0.336858773148148,-0.336858773148148,-7.9e-05,1e-05,00030848012,PC,False,False,SOFT
54108.4294425177,0.336858773148148,-0.336858773148148,-8e-05,9e-06,00030848012,PC,False,False,HARD
54129.0007609058,0.101289155092593,-0.101289155092593,-0.000205,2.9e-05,00035866004,PC,False,False,HARD
54129.0007609058,0.101289155092593,-0.101289155092593,-0.307566,-0.362528,00035866004,PC,False,False,HR
54129.0007609058,0.101289155092593,-0.101289155092593,0.000666,0.00078,00035866004,PC,False,False,SOFT
54606.2175601499,0.205298935185185,-0.205298935185185,-0.000129,1.2e-05,00031210001,PC,False,False,SOFT
54606.2175601499,0.205298935185185,-0.205298935185185,1.022851,0.128375,00031210001,PC,False,False,HR
54606.2175601499,0.205298935185185,-0.205298935185185,-0.000132,1.2e-05,00031210001,PC,False,False,HARD
54611.2694458184,0.239523541666667,-0.239523541666667,0.000146,0.000225,00031210002,PC,False,False,SOFT
54611.2694458184,0.239523541666667,-0.239523541666667,-0.568866,-0.874557,00031210002,PC,False,False,HR
54611.2694458184,0.239523541666667,-0.239523541666667,-8.3e-05,7e-06,00031210002,PC,False,False,HARD
54621.810860564,0.142562303240741,-0.142562303240741,-0.939476,-1.745919,00031210003,PC,False,False,HR
54621.810860564,0.142562303240741,-0.142562303240741,-0.000146,1.2e-05,00031210003,PC,False,False,HARD
54621.810860564,0.142562303240741,-0.142562303240741,0.000156,0.000289,00031210003,PC,False,False,SOFT
54636.6945743256,0.305367071759259,-0.305367071759259,-6.1e-05,5e-06,00031210004,PC,False,False,SOFT
54636.6945743256,0.305367071759259,-0.305367071759259,-2.389721,-3.196024,00031210004,PC,False,False,HR
54636.6945743256,0.305367071759259,-0.305367071759259,0.000145,0.000194,00031210004,PC,False,False,HARD
54692.5723676628,0.40464349537037,-0.40464349537037,-4.96382,-5.670705,00031210005,PC,False,False,HR
54692.5723676628,0.40464349537037,-0.40464349537037,-0.000118,1.7e-05,00031210005,PC,False,False,SOFT
54692.5723676628,0.40464349537037,-0.40464349537037,0.000588,0.000666,00031210005,PC,False,False,HARD
54693.164780834,0.124038541666667,-0.124038541666667,-3.9e-05,7e-06,00031210006,PC,False,False,SOFT
54693.164780834,0.124038541666667,-0.124038541666667,-7.3e-05,9e-06,00031210006,PC,False,False,HARD
54693.164780834,0.124038541666667,-0.124038541666667,1.876782,0.404411,00031210006,PC,False,False,HR
54704.701015267,0.107944247685185,-0.107944247685185,1.401989,0.207141,00031210007,PC,False,False,HR
