SRCID,RA,DEC,n_obs,n_obs_uvot,n_obs_xrt,total_uvot_exp,total_xrt_exp
5377,149.37803191035,69.042745274354,824,814,820,992814.7239999999,999220.7019999999
4578,149.39525312608,69.271083789611,819,810,815,996536.838,1003979.686
14633,133.69748841427,20.213426518267,773,760,772,834859.315,859880.247
8984,10.652724054777,40.934511700156,616,611,614,1580434.028,1612742.4360000002
8117,10.6818374564,40.920890599359,601,596,599,1536609.364,1568770.5520000001
32833,228.93505577611,56.373792659707,549,543,548,965456.173,969445.692
338825,229.01230152581,56.277587436558,549,543,548,965456.173,969445.692
28355,228.99424293979,56.302859205852,549,543,548,965456.173,969445.692
338827,229.0105987738,56.303727809995,549,543,548,965456.173,969445.692
28876,229.0304302931,56.264667165073,549,543,548,965456.173,969445.692
30611,229.01667276996,56.270867147235,549,543,548,965456.173,969445.692
4943,10.680404872186,40.897524447615,530,527,529,1365286.078,1394483.53
158117,49.692853238937,-66.481680957566,518,507,516,612163.8160000001,615632.658
894,49.583027027149,-66.486207502049,518,507,516,612163.8160000001,615632.658
13183,49.66381093532,-66.488212359588,518,507,516,612163.8160000001,615632.658
157926,49.51730603507,-66.506995201308,518,507,516,612163.8160000001,615632.658
4934,50.021322631277,-66.703912795059,518,507,516,612163.8160000001,615632.658
901,49.576876998966,-66.500659698724,518,507,516,612163.8160000001,615632.658
157932,49.494418461295,-66.506358298068,518,507,516,612163.8160000001,615632.658
2749,49.626065784654,-66.526423099087,518,507,516,612163.8160000001,615632.658
46487,49.521677859623,-66.476986096174,518,507,516,612163.8160000001,615632.658
29521,49.586495482129,-66.509583190909,518,507,516,612163.8160000001,615632.658
158038,49.482743320179,-66.52337280828,518,507,516,612163.8160000001,615632.658
158233,49.606887343552,-66.546925758931,518,507,516,612163.8160000001,615632.658
1983,49.490145382618,-66.540369835066,518,507,516,612163.8160000001,615632.658
1498,49.577872044273,-66.541697057969,518,507,516,612163.8160000001,615632.658
1448,49.52092844538,-66.504219964326,518,507,516,612163.8160000001,615632.658
157928,49.50916439105,-66.491919383415,518,507,516,612163.8160000001,615632.658
1915,210.83187345877,-41.382843798793,504,150,502,143469.58000000002,708356.5920000001
64434,182.81857634952,39.408594115861,495,491,495,483705.46,567916.014
2049,182.82481334852,39.408338948642,495,491,495,483705.46,567916.014
354089,182.63639966565,39.382927284834,494,490,494,482414.146,566617.8509999999
353850,182.60095375401,39.400291769983,494,490,494,482414.146,566617.8509999999
354104,182.64119272572,39.381211095419,494,490,494,482414.146,566617.8509999999
46369,182.57948289897,39.394657000815,494,490,494,482414.146,566617.8509999999
28671,182.59333318796,39.388062630487,494,490,494,482414.146,566617.8509999999
4355,10.723392082547,40.888066561257,481,478,480,1231386.0169999998,1257716.1909999999
114655,10.645640983656,40.880336354101,442,439,441,1159074.826,1185715.9649999999
60380,203.69332701149,-34.318923716537,438,428,438,433676.505,449329.235
13198,10.723926768885,40.878982324738,416,413,415,1099593.484,1125316.289
48655,10.716342785127,40.877351314671,411,408,410,1088312.205,1114028.459
114704,10.659722447484,40.87405804033,397,396,396,1069590.162,1095534.566
332125,204.1512935308,-33.94189792285,361,355,361,351890.02599999995,366832.792
2241,10.676779748059,40.86497515992,318,317,317,857761.7670000001,880201.4099999999
48080,202.48133898415,47.232225478945,312,298,312,576087.852,587684.781
334051,202.51868866948,47.175296276732,312,298,312,576087.852,587684.781
20899,202.43490331649,47.127786204985,312,298,312,576087.852,587684.781
334042,202.5192005479,47.164387226476,312,298,312,576087.852,587684.781
66003,202.49618174846,47.146781624599,312,298,312,576087.852,587684.781
7245,202.472245722,47.178443970404,312,298,312,576087.852,587684.781
6155,202.41491517346,47.211601504089,312,298,312,576087.852,587684.781
5701,202.40755893703,47.270449960703,312,298,312,576087.852,587684.781
5618,202.4121441021,47.223104227228,312,298,312,576087.852,587684.781
18714,202.49596118416,47.203026489974,312,298,312,576087.852,587684.781
5412,202.47390590834,47.242750256349,312,298,312,576087.852,587684.781
17597,202.51766854712,47.222429165893,312,298,312,576087.852,587684.781
7849,202.46943710525,47.279114371217,312,298,312,576087.852,587684.781
5351,202.52691502538,47.142988930779,312,298,312,576087.852,587684.781
4870,202.47745682156,47.155769279513,312,298,312,576087.852,587684.781
5293,202.52498459714,47.261844847196,312,298,312,576087.852,587684.781
5256,202.50418945635,47.228721284772,312,298,312,576087.852,587684.781
44872,202.46096712655,47.199160519542,312,298,312,576087.852,587684.781
5231,202.53120573202,47.185035833492,312,298,312,576087.852,587684.781
14550,202.38854705755,47.244047849777,312,298,312,576087.852,587684.781
5014,202.48952518741,47.179795155954,312,298,312,576087.852,587684.781
7443,202.43069264575,47.256942169349,312,298,312,576087.852,587684.781
10471,202.43045338431,47.192587009874,312,298,312,576087.852,587684.781
357850,186.40846418911,33.642036076578,260,256,260,336022.507,352127.89
357431,186.48857133795,33.495924499182,260,256,260,336022.507,352127.89
41932,186.40423688097,33.627474567523,260,256,260,336022.507,352127.89
10907,186.45440191677,33.534217727811,260,256,260,336022.507,352127.89
357341,186.4725256377,33.641540706705,260,256,260,336022.507,352127.89
357388,186.49530884291,33.473110755544,260,256,260,336022.507,352127.89
357342,186.47236235152,33.632281659469,260,256,260,336022.507,352127.89
357370,186.4530326838,33.477139061836,260,256,260,336022.507,352127.89
357384,186.46156948421,33.644171244168,260,256,260,336022.507,352127.89
10973,186.44696242794,33.580032100723,260,256,260,336022.507,352127.89
357409,186.50132612441,33.468910666116,260,256,260,336022.507,352127.89
58816,186.51741722135,33.548033105283,260,256,260,336022.507,352127.89
53830,186.41329306255,33.563907004753,260,256,260,336022.507,352127.89
52833,186.34267308475,33.554729785415,260,256,260,336022.507,352127.89
52759,186.39692226742,33.475460963492,260,256,260,336022.507,352127.89
50411,186.42607697276,33.542614028433,260,256,260,336022.507,352127.89
49853,186.47524304245,33.484862218379,260,256,260,336022.507,352127.89
41812,186.39379424972,33.536354465056,260,256,260,336022.507,352127.89
357259,186.54286427843,33.472280545113,260,256,260,336022.507,352127.89
357897,186.43259118715,33.488572738063,260,256,260,336022.507,352127.89
357327,186.55771322283,33.562379903013,260,256,260,336022.507,352127.89
6718,186.49898178682,33.556064309703,260,256,260,336022.507,352127.89
17523,186.43877041028,33.517595455391,260,256,260,336022.507,352127.89
17399,186.44638707816,33.60184429885,260,256,260,336022.507,352127.89
34396,186.46264351061,33.572569194665,260,256,260,336022.507,352127.89
7019,186.50604131128,33.525409049244,260,256,260,336022.507,352127.89
16429,186.43313585282,33.499910228689,260,256,260,336022.507,352127.89
357990,186.3800419177,33.583468240795,260,256,260,336022.507,352127.89
357314,186.54894768569,33.501257746952,260,256,260,336022.507,352127.89
357308,186.56906819669,33.518040796803,260,256,260,336022.507,352127.89
357274,186.5105772242,33.621608251496,260,256,260,336022.507,352127.89
357333,186.55333105535,33.510235929856,260,256,260,336022.507,352127.89
357937,186.37007615536,33.621566567957,260,256,260,336022.507,352127.89
357935,186.37119070731,33.603285065101,260,256,260,336022.507,352127.89
357898,186.43257123523,33.481705272643,260,256,260,336022.507,352127.89
10540,186.4148040072,33.534447576186,260,256,260,336022.507,352127.89
357894,186.43233958598,33.568025483158,260,256,260,336022.507,352127.89
20810,186.46686577479,33.453233837006,260,256,260,336022.507,352127.89
7352,124.79243520929,70.778283944057,234,232,234,290270.695,291258.047
37531,124.75493085046,70.660949319208,233,231,233,289898.367,290880.01
6996,124.87077076754,70.705275050285,233,231,233,289898.367,290880.01
69878,124.70009121234,70.683076319181,233,231,233,289898.367,290880.01
8176,124.73203329237,70.691461657146,233,231,233,289898.367,290880.01
21321,124.79551042074,70.676111341107,233,231,233,289898.367,290880.01
23599,124.7477198267,70.711177018225,233,231,233,289898.367,290880.01
7112,124.61676045458,70.714211512282,233,231,233,289898.367,290880.01
46744,124.73989667914,70.66903870963,233,231,233,289898.367,290880.01
8300,10.740647642633,40.849884630322,222,222,222,659327.664,678998.4820000001
57899,10.698118187089,40.839572624535,196,196,196,594400.18,613932.49
129775,11.763167972842,-20.61611609658,189,187,189,293977.879,295779.473
129763,11.761832872782,-20.633995265784,188,186,188,293857.653,295659.132
129889,11.726966465634,-20.727390710613,188,186,188,293857.653,295659.132
129886,11.728403673341,-20.683655005819,188,186,188,293857.653,295659.132
128083,11.80260670312,-20.64450636659,188,186,188,293857.653,295659.132
129882,11.727717837303,-20.691473385581,188,186,188,293857.653,295659.132
129810,11.774676730782,-20.698037093984,188,186,188,293857.653,295659.132
129790,11.748021732294,-20.70756034843,188,186,188,293857.653,295659.132
129772,11.765212928311,-20.671166145323,188,186,188,293857.653,295659.132
129770,11.764283585208,-20.722518993056,186,184,186,292234.98600000003,294034.411
128056,11.802713138885,-20.705673093374,186,184,186,292234.98600000003,294034.411
128123,11.827291117558,-20.794684149653,185,183,185,290752.801,292551.569
129798,11.747315465091,-20.760699418209,185,183,185,290752.801,292551.569
128069,11.81329922055,-20.788280314027,185,183,185,290752.801,292551.569
128072,11.792663255666,-20.728243105585,185,183,185,290752.801,292551.569
128094,11.839266551031,-20.850750445402,185,183,185,290752.801,292551.569
129826,11.766184465943,-20.795489959592,185,183,185,290752.801,292551.569
129815,11.787360864941,-20.871001655647,185,183,185,290752.801,292551.569
128098,11.834562173786,-20.880212557578,185,183,185,290752.801,292551.569
129808,11.774494956103,-20.877461759801,185,183,185,290752.801,292551.569
128099,11.837425373364,-20.825957816407,185,183,185,290752.801,292551.569
128126,11.824219469383,-20.919018455674,185,183,185,290752.801,292551.569
129784,11.742828439241,-20.84522697281,185,183,185,290752.801,292551.569
129778,11.763750325466,-20.762705191791,185,183,185,290752.801,292551.569
128120,11.818942862045,-20.804040986799,185,183,185,290752.801,292551.569
128121,11.825395244601,-20.716643884115,185,183,185,290752.801,292551.569
128058,11.806552086861,-20.853687958955,185,183,185,290752.801,292551.569
129760,11.760970895483,-20.883973388033,185,183,185,290752.801,292551.569
128945,11.788245987521,-20.773010297992,185,183,185,290752.801,292551.569
128060,11.816048601541,-20.917089625865,185,183,185,290752.801,292551.569
128079,11.791843433811,-20.785712217458,185,183,185,290752.801,292551.569
12798,13.549847041692,-37.664717302019,164,162,164,573871.8,581188.0190000001
24114,13.746054489375,-37.79781601833,164,162,164,573871.8,581188.0190000001
7023,13.791794856829,-37.703418736889,164,162,164,573871.8,581188.0190000001
7061,13.795295214002,-37.809702592405,164,162,164,573871.8,581188.0190000001
22713,13.61867858574,-37.691889483073,164,162,164,573871.8,581188.0190000001
7093,13.864607884869,-37.614668593381,164,162,164,573871.8,581188.0190000001
11445,13.710917508157,-37.690969824124,164,162,164,573871.8,581188.0190000001
