MJD,Err (pos),Err(neg),Rate,Error,obsID,MODE,BAD,UL,BAND
55424.1034163478,0.0687259837962963,-0.0687259837962963,1.817001,1.067661,00031791001,PC,True,False,HR
55424.1034163478,0.0687259837962963,-0.0687259837962963,0.012807,0.004599,00031791001,PC,True,False,HARD
55424.1034163478,0.0687259837962963,-0.0687259837962963,0.007048,0.003278,00031791001,PC,True,False,SOFT
55432.3118816477,0.005397662037037,-0.005397662037037,2.58251,1.030744,00031791002,PC,False,False,HR
55432.3118816477,0.005397662037037,-0.005397662037037,0.012571,0.004263,00031791002,PC,False,False,SOFT
55432.3118816477,0.005397662037037,-0.005397662037037,0.032465,0.006834,00031791002,PC,False,False,HARD
55436.7310352998,0.143181041666667,-0.143181041666667,1.554803,0.268025,00031791003,PC,False,False,HR
55436.7310352998,0.143181041666667,-0.143181041666667,0.017446,0.002346,00031791003,PC,False,False,SOFT
55436.7310352998,0.143181041666667,-0.143181041666667,0.027125,0.002925,00031791003,PC,False,False,HARD
55440.3077208845,0.1067603125,-0.1067603125,0.015316,0.002292,00031791004,PC,False,False,SOFT
55440.3077208845,0.1067603125,-0.1067603125,1.228614,0.248477,00031791004,PC,False,False,HR
55440.3077208845,0.1067603125,-0.1067603125,0.018817,0.00256,00031791004,PC,False,False,HARD
55444.2585312262,0.298325636574074,-0.298325636574074,1.416342,0.321842,00031791005,PC,False,False,HR
55444.2585312262,0.298325636574074,-0.298325636574074,0.022787,0.003332,00031791005,PC,False,False,HARD
55444.2585312262,0.298325636574074,-0.298325636574074,0.016089,0.002799,00031791005,PC,False,False,SOFT
55448.4378379103,0.0731803472222222,-0.0731803472222222,0.011043,0.002217,00031791006,PC,False,False,SOFT
55448.4378379103,0.0731803472222222,-0.0731803472222222,0.01966,0.002931,00031791006,PC,False,False,HARD
55448.4378379103,0.0731803472222222,-0.0731803472222222,1.780229,0.445083,00031791006,PC,False,False,HR
55456.1675766368,0.0392823611111111,-0.0392823611111111,0.013715,0.003206,00031791007,PC,False,False,HARD
55456.1675766368,0.0392823611111111,-0.0392823611111111,0.01384,0.003229,00031791007,PC,False,False,SOFT
55456.1675766368,0.0392823611111111,-0.0392823611111111,0.990918,0.327281,00031791007,PC,False,False,HR
55460.7857310519,0.17319037037037,-0.17319037037037,1.953319,0.714303,00031791008,PC,False,False,HR
55460.7857310519,0.17319037037037,-0.17319037037037,0.016014,0.003395,00031791008,PC,False,False,HARD
55460.7857310519,0.17319037037037,-0.17319037037037,0.008198,0.002443,00031791008,PC,False,False,SOFT
55464.4409701426,0.0714241203703704,-0.0714241203703704,1.257149,0.366991,00031791009,PC,False,False,HR
55464.4409701426,0.0714241203703704,-0.0714241203703704,0.008828,0.001926,00031791009,PC,False,False,SOFT
55464.4409701426,0.0714241203703704,-0.0714241203703704,0.011098,0.002152,00031791009,PC,False,False,HARD
55468.2542602865,0.0741084143518519,-0.0741084143518519,0.012546,0.002135,00031791010,PC,False,False,HARD
55468.2542602865,0.0741084143518519,-0.0741084143518519,1.916916,0.56074,00031791010,PC,False,False,HR
55468.2542602865,0.0741084143518519,-0.0741084143518519,0.006545,0.001557,00031791010,PC,False,False,SOFT
55472.7178742844,0.0369005671296296,-0.0369005671296296,0.021262,0.004321,00031791011,PC,False,False,HARD
55472.7178742844,0.0369005671296296,-0.0369005671296296,0.012672,0.003335,00031791011,PC,False,False,SOFT
55472.7178742844,0.0369005671296296,-0.0369005671296296,1.677892,0.557939,00031791011,PC,False,False,HR
55476.5837196481,0.0432758796296296,-0.0432758796296296,0.007821,0.001769,00031791012,PC,False,False,SOFT
